//Preset2;33.15617
//Preset3;83.81486
//Preset4;85.58143
//Preset2;104.4439
//Preset1;109.5762
//Preset3;112.2758
//Preset2;122.9736
//Preset4;124.8728
//Preset6;130.8381
//Preset3;32.19016
Kidney;Depth;1;92.7759
Kidney;Specularity;2;97.57478
Kidney;Specularity;3;98.84116
Kidney;Specularity;1;100.0075
Kidney;Specularity;1;100.5408
Kidney;Opacity;5;105.6729
Kidney;Falloff;3;111.7048
Kidney;Falloff;9;113.5377
Kidney;Falloff;5;115.1373
Kidney;Falloff;4;115.6706
Kidney;Depth;2;147.8959
Kidney;Depth;3;149.029
Kidney;Depth;4;150.6286
Kidney;Depth;2;152.2287
Kidney;Depth;1;153.2952
Kidney;Depth;1;154.0284
Kidney;Opacity;3;157.6612
Kidney;Opacity;1;158.7939
Kidney;Opacity;5;160.7965
Kidney;Opacity;8;161.8964
Kidney;Opacity;8;162.8291
Kidney;Falloff;2;174.9591
Kidney;Falloff;3;177.7586
Kidney;Falloff;4;179.2918
Kidney;Falloff;1;182.9579
Calxy;Falloff;3;193.1888
Calxy;Falloff;0;195.0883
Tumor;Falloff;5;201.5868
Tumor;Falloff;1;202.7532
Tumor;Falloff;0;203.553
Tumor;Falloff;0;204.3528
\Submit;209.4172
