//Preset1;1010.444
//Preset3;1011.177
//Preset5;1011.944
//Preset6;1013.11
//Preset4;1019.541
//Preset2;1021.174
//Preset3;1057.463
//Preset1;1065.861
//Preset3;1067.627
//Preset5;1069.06
//Preset6;1070.36
//Preset4;1071.826
//Preset4;1077.59
//Preset4;1078.39
//Preset4;1080.19
//Preset4;1081.989
//Preset4;1085.155
//Preset4;1085.621
//Preset4;1085.988
//Preset4;1086.188
//Preset4;1086.354
//Preset4;1087.254
//Preset4;1087.654
//Preset4;1087.821
//Preset4;1087.954
//Preset3;1088.487
//Preset2;1089.853
//Preset4;1093.686
//Preset3;1096.751
//Preset4;1098.951
Kidney;Specularity;3;1110.615
Kidney;Specularity;1;1112.748
A: Undo;1118.313
//Preset3;1123.811
//Preset4;1125.01
//Preset3;1128.743
//Preset5;1131.843
//Preset6;1132.743
//Preset4;1133.975
//Preset2;1135.241
Kidney;Opacity;5;1144.838
Kidney;Opacity;3;1146.505
Kidney;Opacity;4;1152.969
Kidney;Depth;3;1166.599
Kidney;Depth;2;1176.063
Kidney;Depth;3;1179.396
Kidney;Depth;3;1180.529
\Submit;1186.56
